HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,-36032.2219911581,-36032.2219911581,0.0,-30.434930206003166,8904.437422330837
1,-36032.2219911581,-36032.2219911581,0.0,-30.434930206003166,8904.437422330837
2,-36032.2219911581,-36032.2219911581,0.0,-30.434930206003166,8904.437422330837
3,-36032.2219911581,-36032.2219911581,0.0,-30.434930206003166,8904.437422330837
4,-36032.2219911581,-36032.2219911581,0.0,-30.434930206003166,8904.437422330837
5,7571.683453051388,-36032.2219911581,0.0,-30.434930206003166,8904.437422330837
6,6384.531044080039,187.98270209164184,0.0,-30.434930206003166,8904.437422330837
7,9155.578529545797,3034.0825590412423,0.0,-30.434930206003166,8904.437422330837
8,19280.08709536621,5720.865253378179,0.0,-30.434930206003166,8904.437422330837
9,8897.152008467587,4572.8084712797645,0.0,-30.434930206003166,8904.437422330837
10,4111.097455816496,2888.715124478622,0.0,-30.434930206003166,8904.437422330837
11,4022.1303382481638,5325.717765741872,0.0,-30.434930206003166,8904.437422330837
12,15670.14222964437,4199.293527508569,0.0,-30.434930206003166,8904.437422330837
13,6364.9083791000085,5550.832672456832,0.0,-30.434930206003166,8904.437422330837
14,5483.12419884462,5222.758776416849,0.0,-30.434930206003166,8904.437422330837
15,9621.196018630995,10165.567634485531,0.0,-30.434930206003166,8904.437422330837
16,8242.598923976926,-36032.2219911581,0.0,-30.434930206003166,8904.437422330837
17,5915.538036787424,-36032.2219911581,0.0,-30.434930206003166,8904.437422330837
18,-36032.2219911581,-36032.2219911581,0.0,-30.434930206003166,8904.437422330837
19,-36032.2219911581,-36032.2219911581,0.0,-30.434930206003166,8904.437422330837
20,-36032.2219911581,-36032.2219911581,0.0,-30.434930206003166,8904.437422330837
21,-36032.2219911581,-36032.2219911581,0.0,-30.434930206003166,8904.437422330837
22,-36032.2219911581,-36032.2219911581,0.0,-30.434930206003166,8904.437422330837
23,-36032.2219911581,-36032.2219911581,0.0,-30.434930206003166,8904.437422330837
