HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,8785.121520294377,8458.41839130109,0.0,0.0,5708.140246155369
1,8801.830704846056,8458.4183913011,0.0,0.0,5708.140246155369
2,8879.8694511792,8458.418391301011,0.0,0.0,5708.140246155369
3,9222.84887788893,8458.418391301146,0.0,0.0,5708.140246155369
4,10503.158949577903,8459.225665752718,0.0,0.0,5708.140246155369
5,15586.010308159592,8474.451702411356,0.0,0.0,5708.140246155369
6,26318.80249678268,8571.919565054091,0.0,0.0,5708.140246155369
7,36539.21599991013,8859.171987680338,0.0,0.0,5708.140246155369
8,41513.57127222512,9388.835031362678,0.0,0.0,5708.140246155369
9,42817.588790484224,9973.631591796875,0.0,0.0,5708.140246155369
10,42775.15993923603,10364.062086838956,0.0,0.0,5708.140246155369
11,42388.92971182047,10420.274146446824,0.0,0.0,5708.140246155369
12,41329.149423416464,10176.774554912941,0.0,0.0,5708.140246155369
13,39809.60600005985,9738.715632512041,0.0,0.0,5708.140246155369
14,36182.285442483735,9258.41510009767,0.0,0.0,5708.140246155369
15,30488.831080878757,8826.27425912711,0.0,0.0,5708.140246155369
16,25879.294964903667,8580.702664888846,0.0,0.0,5708.140246155369
17,22308.020492846008,8507.517920860893,0.0,0.0,5708.140246155369
18,18819.28109285191,8486.597872220565,0.0,0.0,5708.140246155369
19,15169.522084904678,8465.410531850966,0.0,0.0,5708.140246155369
20,12699.754211191994,8459.128295898443,0.0,0.0,5708.140246155369
21,11307.098204397247,8458.475388747009,0.0,0.0,5708.140246155369
22,9967.754822946637,8458.418391301091,0.0,0.0,5708.140246155369
23,8881.633306393822,8535.316232534546,0.0,0.0,5708.140246155369
