HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,4185.985046620432,3931.4290442833594,0.0,0.0
1,4204.16032088116,3955.913792536837,0.0,0.0
2,5395.643561235198,4155.747366098208,0.0,0.0
3,9614.41902856389,4659.960221510739,0.0,0.0
4,18152.4730837299,5260.339423546442,0.0,0.0
5,26961.066576493547,5681.815406212448,0.0,0.0
6,31130.386596212345,5849.902989314154,0.0,0.0
7,32325.6265060015,5925.390329214294,0.0,0.0
8,32062.640904685977,5916.167020357576,0.0,0.0
9,32157.9391556662,5875.357273982154,0.0,0.0
10,32048.970115690783,5669.224597637483,0.0,0.0
11,31893.559434678755,5337.466193565968,0.0,0.0
12,31795.921384847905,4955.55649273219,0.0,0.0
13,31666.739280262198,4590.367220365126,0.0,0.0
14,30941.04959328597,4308.938523512637,0.0,0.0
15,28611.860218734997,4113.141413762032,0.0,0.0
16,24957.925141433232,3979.393733097982,0.0,0.0
17,20170.52729604434,3887.743934044505,0.0,0.0
18,15702.592232773502,3923.2082777757055,0.0,0.0
19,12362.476152792615,3963.7193932166615,0.0,0.0
20,9708.28934312145,3936.5849092923736,0.0,0.0
21,7200.622755028839,3931.429044283386,0.0,0.0
22,4960.096067932878,3931.429044283364,0.0,0.0
23,4166.446076725782,-181.8343578621692,0.0,0.0
