HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,5531.624721249329,5255.044273963351,0.0,0.0,702.1963233516473
1,5431.999186197881,5198.3749436598555,0.0,0.0,702.1963233516473
2,5433.465272165287,5204.072246844916,0.0,0.0,702.1963233516473
3,5597.114242846196,5280.658484825749,0.0,0.0,702.1963233516473
4,6090.304008396183,5388.724182128914,0.0,0.0,702.1963233516473
5,7494.792080115489,5558.232722355757,0.0,0.0,702.1963233516473
6,9400.96929814738,5831.902606670666,0.0,0.0,702.1963233516473
7,10826.326184970643,6153.291231595575,0.0,0.0,702.1963233516473
8,11598.069610946455,6421.021315354574,0.0,0.0,702.1963233516473
9,11862.84213549146,6563.240797776432,0.0,0.0,702.1963233516473
10,11886.741420468124,6613.370797964242,0.0,0.0,702.1963233516473
11,11888.176791487029,6644.876262958234,0.0,0.0,702.1963233516473
12,11879.521140146047,6640.324641301126,0.0,0.0,702.1963233516473
13,11764.160333976877,6583.107581505413,0.0,0.0,702.1963233516473
14,11416.38704801241,6489.343604454625,0.0,0.0,702.1963233516473
15,10774.30520571418,6339.782081017131,0.0,0.0,702.1963233516473
16,9378.992802996323,6195.376108022852,0.0,0.0,702.1963233516473
17,7970.291389786863,6055.897559532748,0.0,0.0,702.1963233516473
18,6983.4007610452145,5849.786395733167,0.0,0.0,702.1963233516473
19,6267.12556124276,5547.8847092848555,0.0,0.0,702.1963233516473
20,5853.648740571162,5341.59763746996,0.0,0.0,702.1963233516473
21,5679.526862952019,5296.095890925481,0.0,0.0,702.1963233516473
22,5626.2105521132735,5286.614886944105,0.0,0.0,702.1963233516473
23,5582.88270773474,5274.115553635815,0.0,0.0,702.1963233516473
