HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,9766.327047413513,10119.183396559492,0.0,0.0,1975.9027133219781
1,9258.985544255736,9572.567927433929,0.0,0.0,1975.9027133219781
2,9291.285257273448,9628.102069561162,0.0,0.0,1975.9027133219781
3,10488.035648273424,10610.666438176204,0.0,0.0,1975.9027133219781
4,13088.38959418398,12933.290170522814,0.0,0.0,1975.9027133219781
5,16600.072097251956,16250.433640700066,0.0,0.0,1975.9027133219781
6,19972.700127964275,19445.664362980744,0.0,0.0,1975.9027133219781
7,23004.965850245342,22280.62659630415,0.0,0.0,1975.9027133219781
8,26826.342111170885,25916.41864483172,0.0,0.0,1975.9027133219781
9,32566.372983267305,31695.191650390552,0.0,0.0,1975.9027133219781
10,37559.56068157319,37105.464017427876,0.0,0.0,1975.9027133219781
11,39895.10410680064,39889.824707031265,0.0,0.0,1975.9027133219781
12,40862.72767001905,41007.99598106981,0.0,0.0,1975.9027133219781
13,41513.51671006936,41514.20590444714,0.0,0.0,1975.9027133219781
14,41995.76281130249,41658.08214393026,0.0,0.0,1975.9027133219781
15,42183.37487278487,41475.47825270432,0.0,0.0,1975.9027133219781
16,42841.13291726538,41987.530799278844,0.0,0.0,1975.9027133219781
17,42305.431722940586,41551.83255709129,0.0,0.0,1975.9027133219781
18,40117.40666157787,39611.868389423034,0.0,0.0,1975.9027133219781
19,37201.15580848875,37039.614971454306,0.0,0.0,1975.9027133219781
20,32425.701014727096,32561.683819110556,0.0,0.0,1975.9027133219781
21,26183.245068546545,26568.725454477135,0.0,0.0,1975.9027133219781
22,19724.66211685828,20311.18530273434,0.0,0.0,1975.9027133219781
23,13250.884728209126,13454.201425405638,0.0,0.0,1975.9027133219781
