HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,572.7401190863209,572.7042635404099,0.0,0.0
1,558.1016167534547,558.094558715825,0.0,0.0
2,653.2312011718249,653.8305605374646,0.0,0.0
3,1153.5130750868984,1155.8056323711894,0.0,0.0
4,3479.863407997319,3488.8334409273475,0.0,0.0
5,5598.686946240383,5604.3396653395275,0.0,0.0
6,6625.4840027090695,6632.767906775839,0.0,0.0
7,6966.604574503096,6971.769827035771,0.0,0.0
8,6123.781728927183,6125.853942871086,0.0,0.0
9,5778.042974362396,5783.30510535606,0.0,0.0
10,6660.500190822545,6667.066626915567,0.0,0.0
11,7349.367335293914,7351.780799278846,0.0,0.0
12,7278.152274530034,7276.012019230782,0.0,0.0
13,6404.6456817977605,6396.289137620193,0.0,0.0
14,5579.2786420916855,5569.444472092846,0.0,0.0
15,5652.805860497473,5642.443199744591,0.0,0.0
16,6426.439355842921,6416.024573692906,0.0,0.0
17,7222.258203499151,7210.994126539955,0.0,0.0
18,7463.875101023683,7451.005873460032,0.0,0.0
19,6905.926699817369,6891.57036414513,0.0,0.0
20,5672.456440074244,5658.492398775534,0.0,0.0
21,4260.015310704044,4252.717623197111,0.0,0.0
22,2039.8512732261124,2034.7894486647388,0.0,0.0
23,662.0810614692393,88.85753951118596,0.0,0.0
