HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,2717.872694227378,2717.8083496093777,0.0,0.0,1261.7875511685493
1,2717.8083496093504,2717.8083496093786,0.0,0.0,1261.7875511685493
2,2717.8175147045135,2717.808349609352,0.0,0.0,1261.7875511685493
3,2739.3784217104976,2731.686504657475,0.0,0.0,1261.7875511685493
4,2954.341462935512,2906.1018324631946,0.0,0.0,1261.7875511685493
5,4374.864236298152,3312.696981576765,0.0,0.0,1261.7875511685493
6,7607.549229413767,3821.078617976258,0.0,0.0,1261.7875511685493
7,10801.754943613789,4238.246809739349,0.0,0.0,1261.7875511685493
8,12760.706461588517,4511.7953209510215,0.0,0.0,1261.7875511685493
9,13659.84620543729,4630.414480356061,0.0,0.0,1261.7875511685493
10,13900.958950700413,4531.756913405198,0.0,0.0,1261.7875511685493
11,13920.604031032948,4150.743809626656,0.0,0.0,1261.7875511685493
12,13848.524974369891,3679.767977201047,0.0,0.0,1261.7875511685493
13,13562.111996003947,3257.12984994742,0.0,0.0,1261.7875511685493
14,12781.245453933152,2959.7815739558323,0.0,0.0,1261.7875511685493
15,11336.551029132228,2801.394665057844,0.0,0.0,1261.7875511685493
16,8148.994076082084,2744.438903808602,0.0,0.0,1261.7875511685493
17,5021.100089237598,2728.238267164965,0.0,0.0,1261.7875511685493
18,3439.546065874909,2723.9315326397236,0.0,0.0,1261.7875511685493
19,2868.793552442486,2722.6226665790286,0.0,0.0,1261.7875511685493
20,2748.7846913538915,2721.6448833759036,0.0,0.0,1261.7875511685493
21,2738.252155172446,2720.5459219125623,0.0,0.0,1261.7875511685493
22,2727.771137339871,2718.987318772535,0.0,0.0,1261.7875511685493
23,2719.0636935764387,2717.9684917743357,0.0,0.0,1261.7875511685493
