HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,51.77339553832446,51.7733955383295,0.0,0.0,85.54644007719509
1,51.77339553832815,51.773395538330625,0.0,0.0,85.54644007719509
2,51.77339553832455,51.77339553832789,0.0,0.0,85.54644007719509
3,95.98720974393399,96.15726287548605,0.0,0.0,85.54644007719509
4,279.1685146755626,279.7370156508215,0.0,0.0,85.54644007719509
5,526.6889580620615,527.1861589871905,0.0,0.0,85.54644007719509
6,693.2555881076554,693.498468252328,0.0,0.0,85.54644007719509
7,684.8254801432269,684.5987525353079,0.0,0.0,85.54644007719509
8,615.8107706705697,615.7267115666303,0.0,0.0,85.54644007719509
9,642.3663262261247,642.535710261417,0.0,0.0,85.54644007719509
10,755.9805365668377,756.2820070706883,0.0,0.0,85.54644007719509
11,884.0610215928785,884.3124624399042,0.0,0.0,85.54644007719509
12,867.4118448893208,867.1466569166934,0.0,0.0,85.54644007719509
13,723.7265760633663,723.3860907921426,0.0,0.0,85.54644007719509
14,628.012451171871,627.9167081392727,0.0,0.0,85.54644007719509
15,648.4224717881933,648.5775662935699,0.0,0.0,85.54644007719509
16,764.3218248155397,764.6435159536508,0.0,0.0,85.54644007719509
17,939.7156711154499,940.1329099214984,0.0,0.0,85.54644007719509
18,1131.87874348958,1132.2840411846453,0.0,0.0,85.54644007719509
19,1032.6816880967838,1031.9759228046125,0.0,0.0,85.54644007719509
20,667.5251498752176,666.6853138850278,0.0,0.0,85.54644007719509
21,413.27244398329236,412.9664177527793,0.0,0.0,85.54644007719509
22,187.14151170518804,186.51659833467943,0.0,0.0,85.54644007719509
23,54.16723336114438,54.155724525451795,0.0,0.0,85.54644007719509
