HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,4858.600857204862,4858.536949744596,0.0,0.0,533.0012294080781
1,4845.308105468748,4845.3081054687445,0.0,0.0,533.0012294080781
2,3956.982638888881,3953.566002478962,0.0,0.0,533.0012294080781
3,3246.322265625001,3246.3222656249986,0.0,0.0,533.0012294080781
4,3246.3222656250064,3246.3222656249886,0.0,0.0,533.0012294080781
5,3228.5577879448174,3228.3500162760356,0.0,0.0,533.0012294080781
6,3192.4055175781305,3192.405517578126,0.0,0.0,533.0012294080781
7,3192.405517578131,3192.4055175781195,0.0,0.0,533.0012294080781
8,4858.600857204862,4858.600857204862,0.0,0.0,533.0012294080781
9,4858.600857204862,4858.600857204862,0.0,0.0,533.0012294080781
10,4858.600857204862,4858.600857204862,0.0,0.0,533.0012294080781
11,4858.600857204862,4858.600857204862,0.0,0.0,533.0012294080781
12,4858.600857204862,4858.600857204862,0.0,0.0,533.0012294080781
13,4858.600857204862,4858.600857204862,0.0,0.0,533.0012294080781
14,4858.600857204862,4858.600857204862,0.0,0.0,533.0012294080781
15,4858.600857204862,4858.600857204862,0.0,0.0,533.0012294080781
16,4858.600857204862,4858.600857204862,0.0,0.0,533.0012294080781
17,2155.0065495640138,2150.066554478233,0.0,0.0,533.0012294080781
18,3480.8327243848807,3524.583641639124,0.0,0.0,533.0012294080781
19,4814.059600713152,4844.520588801451,0.0,0.0,533.0012294080781
20,4875.216796875003,4875.216796874992,0.0,0.0,533.0012294080781
21,4875.216796875,4875.216796874992,0.0,0.0,533.0012294080781
22,4875.216796874999,4875.216796874993,0.0,0.0,533.0012294080781
23,4875.216796874998,4875.216796874995,0.0,0.0,533.0012294080781
