HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,230.84625431221173,230.7994801447946,0.0,0.0
1,235.15461204791694,230.79948014479453,0.0,0.0
2,244.90250224262925,230.79948014479206,0.0,0.0
3,258.8747159877596,230.79948014479558,0.0,0.0
4,280.8296721593624,230.7994801447946,0.0,0.0
5,429.43676190723096,287.7077817183265,0.0,0.0
6,596.6259774394539,351.705665001502,0.0,0.0
7,675.9145219590913,370.1002963139472,0.0,0.0
8,716.1556602858028,374.50736441979063,0.0,0.0
9,727.5133367078038,374.5073644197897,0.0,0.0
10,728.8219309255078,374.5073644197903,0.0,0.0
11,728.8219309255077,374.50736441979046,0.0,0.0
12,728.7800570667011,374.5073644197925,0.0,0.0
13,723.1810900808741,374.5073644197906,0.0,0.0
14,688.6550073733251,374.5073644197902,0.0,0.0
15,640.1658339810994,374.5073644197904,0.0,0.0
16,553.2386817201357,348.63992544320996,0.0,0.0
17,482.58409042650624,326.6046996483433,0.0,0.0
18,454.5995754665772,326.6046996483432,0.0,0.0
19,428.3660024007129,326.60469964834357,0.0,0.0
20,375.2932581992918,305.9107833275433,0.0,0.0
21,300.1974189729091,267.5886922983025,0.0,0.0
22,246.9047388537184,239.61355898930444,0.0,0.0
23,230.2603280955388,-0.04677416741797913,0.0,0.0
