HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,317.0195331207927,320.46774849524735,0.0,0.0
1,301.7232682385144,303.48928862351846,0.0,0.0
2,303.7927159568664,304.03078460692666,0.0,0.0
3,331.55754621370045,329.40650088971245,0.0,0.0
4,399.3727349175312,392.9943401630088,0.0,0.0
5,495.1645949791107,483.5195875901438,0.0,0.0
6,630.9797060444503,614.9743218055139,0.0,0.0
7,861.0318734472228,837.7058040912373,0.0,0.0
8,1291.1398914088636,1248.6584683931774,0.0,0.0
9,1984.1127412876294,1902.1728040254984,0.0,0.0
10,2603.7549284134716,2479.477743295523,0.0,0.0
11,2870.1510056535767,2724.3526552640487,0.0,0.0
12,2926.172749837232,2774.016829270588,0.0,0.0
13,2936.691306629396,2782.4807164118847,0.0,0.0
14,2937.406125357312,2783.82495351938,0.0,0.0
15,2920.955740157665,2774.072501549354,0.0,0.0
16,2878.867545526149,2734.0237720196064,0.0,0.0
17,2812.288256415002,2658.2531714806164,0.0,0.0
18,2680.8987719071674,2512.381058913009,0.0,0.0
19,2385.2383546792553,2214.0472447321963,0.0,0.0
20,1865.0314768356425,1720.0123114952648,0.0,0.0
21,1222.3527708090228,1137.0448526235728,0.0,0.0
22,681.0776527375597,658.523669903095,0.0,0.0
23,398.9284491411297,84.86962057981563,0.0,0.0
