HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,2448.076795789896,2455.168513371395,0.0,0.0
1,2459.776445761477,2461.353750375601,0.0,0.0
2,2570.8843493698837,2569.7442814753445,0.0,0.0
3,2722.815253831491,2717.4151235727263,0.0,0.0
4,2900.441001219761,2882.481830303484,0.0,0.0
5,3131.826857526621,3042.174415001495,0.0,0.0
6,3361.3881171801163,3180.141521747289,0.0,0.0
7,3525.536955033206,3306.64556415265,0.0,0.0
8,3601.2777366199566,3395.8766103891203,0.0,0.0
9,3625.376915708789,3433.2008432241505,0.0,0.0
10,3631.051136703774,3438.863872821513,0.0,0.0
11,3630.421374558474,3438.5784207857573,0.0,0.0
12,3620.58845935104,3431.485168457044,0.0,0.0
13,3597.528929260945,3415.4938917893624,0.0,0.0
14,3549.2537659392738,3315.7916517991266,0.0,0.0
15,3457.7157426739,3215.5151508037857,0.0,0.0
16,3259.1714456492564,3088.102388822117,0.0,0.0
17,3048.6868227669943,2933.2931659404994,0.0,0.0
18,2911.64294667443,2818.675945575416,0.0,0.0
19,2791.8071242292017,2686.181678185094,0.0,0.0
20,2638.3532406160352,2580.961374136118,0.0,0.0
21,2523.197548117228,2531.117027869587,0.0,0.0
22,2479.385687934031,2500.3744553786005,0.0,0.0
23,2459.774739583362,26.55294617224024,0.0,0.0
