HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,114.04051208495902,114.04051208496098,0.0,0.0,7.408707320618182
1,115.98772374880176,116.95560660729039,0.0,0.0,7.408707320618182
2,120.89254515198306,125.04540692842832,0.0,0.0,7.408707320618182
3,134.86514580387214,136.8585568941565,0.0,0.0,7.408707320618182
4,168.20999876292694,158.5169258117674,0.0,0.0,7.408707320618182
5,201.391742399368,191.37610743595968,0.0,0.0,7.408707320618182
6,216.71964407150392,214.6513883150538,0.0,0.0,7.408707320618182
7,221.75271132896592,221.84828068659917,0.0,0.0,7.408707320618182
8,223.00793457031165,223.00793457031247,0.0,0.0,7.408707320618182
9,223.00793457031116,223.00793457031202,0.0,0.0,7.408707320618182
10,223.00793457031176,223.00793457031253,0.0,0.0,7.408707320618182
11,223.00793457031153,223.0079345703126,0.0,0.0,7.408707320618182
12,223.00793457031176,223.00793457031335,0.0,0.0,7.408707320618182
13,223.007934570312,223.00793457031267,0.0,0.0,7.408707320618182
14,222.22484480466744,223.00793457031247,0.0,0.0,7.408707320618182
15,208.6819853800917,206.53828576894898,0.0,0.0,7.408707320618182
16,182.718437574833,178.098450587346,0.0,0.0,7.408707320618182
17,155.57952319616533,151.44087571364167,0.0,0.0,7.408707320618182
18,134.76618255965903,135.65579605102522,0.0,0.0,7.408707320618182
19,123.54568083898174,127.30975517859822,0.0,0.0,7.408707320618182
20,118.43866434499313,120.4899252378024,0.0,0.0,7.408707320618182
21,115.30285901767631,115.87051494304936,0.0,0.0,7.408707320618182
22,114.04051208496114,114.04051208496061,0.0,0.0,7.408707320618182
23,114.04051208496259,114.04051208496071,0.0,0.0,7.408707320618182
