HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,10.020687673332489,-7.597896716434384,-8.403233822461068,0.0
1,18.362974828212213,6.536333269404589,-8.403233822461068,0.0
2,22.236914075901954,15.034836929849213,-8.403233822461068,0.0
3,28.407329366157107,20.600053620566836,-8.403233822461068,0.0
4,31.42351340396359,23.79528344904093,-8.403233822461068,0.0
5,20.858148526871485,19.314530126010382,-8.403233822461068,0.0
6,11.276858563639635,15.487229776313697,-8.403233822461068,0.0
7,7.300807940110801,14.984342626409362,-8.403233822461068,0.0
8,4.0515578459621215,8.088286075606481,-8.403233822461068,0.0
9,1.639471072572416,2.79641456683237,-8.403233822461068,0.0
10,-4.4481542772537495,-2.477066492542324,-8.403233822461068,0.0
11,-8.79297199102735,-12.791140286912391,-8.403233822461068,0.0
12,-17.964182488610113,-8.63107738467577,-8.403233822461068,0.0
13,-17.095331269804195,-20.542425219109678,-8.403233822461068,0.0
14,-26.363507255650077,-31.420635081983548,-8.403233822461068,0.0
15,-34.13375619444571,-23.690281092299756,-8.403233822461068,0.0
16,-35.831007295780466,-28.894353118848613,-8.403233822461068,0.0
17,-34.769116256039744,-33.55287047583692,-8.403233822461068,0.0
18,-27.083473588819054,-32.74454768485256,-8.403233822461068,0.0
19,-24.35319591182607,-23.14227601953486,-8.403233822461068,0.0
20,-13.070804812522518,-29.487293714820794,-8.403233822461068,0.0
21,-13.050865971961528,-23.957083963021283,-8.403233822461068,0.0
22,-8.599911132790897,-12.05166989427213,-8.403233822461068,0.0
23,0.40582143132913195,-12.341984503704333,-8.403233822461068,0.0
