HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,98.71701049804506,98.71701049804699,0.0,0.0
1,98.71701049804597,98.71701049804693,0.0,0.0
2,98.8288404676634,98.82927058293176,0.0,0.0
3,102.99536015887304,103.01142824613204,0.0,0.0
4,117.80842502637816,117.8561666928805,0.0,0.0
5,147.509557760537,147.59795768444303,0.0,0.0
6,187.38398982373835,187.49453163146944,0.0,0.0
7,221.81760561420475,221.9132708035986,0.0,0.0
8,238.92971450980983,239.00325437692484,0.0,0.0
9,243.2409191496974,243.30913631732608,0.0,0.0
10,243.77369953023918,243.8417980487529,0.0,0.0
11,243.8085609523723,243.8766387059137,0.0,0.0
12,243.80856095237206,243.87663870591462,0.0,0.0
13,243.8085609523726,243.8766387059141,0.0,0.0
14,243.7861898721854,243.8541815831108,0.0,0.0
15,243.43325747201206,243.49996918898347,0.0,0.0
16,241.56142989703113,241.6221036177415,0.0,0.0
17,233.92336118266925,233.960232074444,0.0,0.0
18,219.05025450023092,219.06319530193588,0.0,0.0
19,197.19784066503385,197.17753557058472,0.0,0.0
20,169.4184786040217,169.3709922203651,0.0,0.0
21,132.51889418094174,132.4332813849817,0.0,0.0
22,105.3328137160265,105.30166772695661,0.0,0.0
23,98.71701049804888,1.6404655411861313e-12,0.0,0.0
