HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,495.8145910971557,503.40718137300735,0.0,0.0,708.7832087038653
1,514.3714489699183,515.2322783836994,0.0,0.0,708.7832087038653
2,646.5871939823159,563.14410077607,0.0,0.0,708.7832087038653
3,1200.0933655487518,688.3217474130676,0.0,0.0,708.7832087038653
4,2410.8511441402393,1029.447757427506,0.0,0.0,708.7832087038653
5,4038.1156854738833,1697.6094847459035,0.0,0.0,708.7832087038653
6,5952.886146983981,2777.0542485163724,0.0,0.0,708.7832087038653
7,7539.927516659547,3873.2283653846257,0.0,0.0,708.7832087038653
8,8289.504509352162,4574.59634164663,0.0,0.0,708.7832087038653
9,8519.7529745869,4902.763200026286,0.0,0.0,708.7832087038653
10,8574.75283451006,4986.137782170221,0.0,0.0,708.7832087038653
11,8570.444339912954,4979.2574603740995,0.0,0.0,708.7832087038653
12,8544.447904038685,4943.312922551095,0.0,0.0,708.7832087038653
13,8171.365071614575,4847.154665433445,0.0,0.0,708.7832087038653
14,7443.388709992718,4561.141456017125,0.0,0.0,708.7832087038653
15,6521.235028380166,3976.7709280160766,0.0,0.0,708.7832087038653
16,5033.95784224588,3092.3179368239175,0.0,0.0,708.7832087038653
17,3259.0993610250507,2087.6161815936803,0.0,0.0,708.7832087038653
18,1909.0553757239811,1352.224246685324,0.0,0.0,708.7832087038653
19,1200.9193297637955,1009.2699009821986,0.0,0.0,708.7832087038653
20,926.5876534999238,871.5797817523652,0.0,0.0,708.7832087038653
21,787.5593986657635,782.1845245361401,0.0,0.0,708.7832087038653
22,660.9637659299539,673.2557508028501,0.0,0.0,708.7832087038653
23,549.762316824414,560.3299017686121,0.0,0.0,708.7832087038653
