HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,86.79726626224067,84.73976670778734,0.0,0.0
1,94.22345923646516,84.73976670778734,0.0,0.0
2,117.03886317110101,84.76324382194987,0.0,0.0
3,187.14782852232435,85.119600222663,0.0,0.0
4,397.1042119460989,86.88810605269266,0.0,0.0
5,790.0143957905344,90.41701089418913,0.0,0.0
6,1277.3983931559815,94.30394986959645,0.0,0.0
7,1719.6854443312595,96.25049613072503,0.0,0.0
8,1921.4126481388707,97.23222358410153,0.0,0.0
9,1895.8330016739042,97.51940360436174,0.0,0.0
10,1836.1360473340478,97.50347174131018,0.0,0.0
11,1784.775724769093,97.27945489149874,0.0,0.0
12,1647.2432414964683,96.99534680293348,0.0,0.0
13,1368.739781083732,96.69656562805301,0.0,0.0
14,998.1428739759634,96.51838838137178,0.0,0.0
15,684.268451266817,96.34524125319307,0.0,0.0
16,472.5663459748608,95.14997988480862,0.0,0.0
17,309.6868285548187,92.08210314237262,0.0,0.0
18,183.9930828869087,88.07288507314888,0.0,0.0
19,113.74150763617229,85.1928279583276,0.0,0.0
20,89.67326591754937,84.73976670778731,0.0,0.0
21,85.29758900609788,84.73976670778818,0.0,0.0
22,84.93613021675348,84.73976670778761,0.0,0.0
23,85.09696054276313,-2.0574995544535355,0.0,0.0
