HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,350.3646545410081,351.46558673565244,0.0,0.0,368.2361985888622
1,350.3646545410119,351.4655867356522,0.0,0.0,368.2361985888622
2,350.4087078927491,351.46558673564914,0.0,0.0,368.2361985888622
3,363.0209703701404,351.4655867356554,0.0,0.0,368.2361985888622
4,471.9133192040432,351.46558673565283,0.0,0.0,368.2361985888622
5,813.5638724725302,351.4937799893896,0.0,0.0,368.2361985888622
6,1476.8364386430853,351.77820587158226,0.0,0.0,368.2361985888622
7,2354.1200767312457,352.87391105065245,0.0,0.0,368.2361985888622
8,2902.7438368523226,355.30288402850795,0.0,0.0,368.2361985888622
9,2893.3507667044514,358.4703421959519,0.0,0.0,368.2361985888622
10,2876.226537477921,360.2422476548422,0.0,0.0,368.2361985888622
11,3019.133682660213,359.9399519700276,0.0,0.0,368.2361985888622
12,2947.451336740075,358.3586531419058,0.0,0.0,368.2361985888622
13,2579.244820898063,355.8937556927038,0.0,0.0,368.2361985888622
14,1987.2828563237056,353.5112201984119,0.0,0.0,368.2361985888622
15,1264.4182916984682,352.03571583674557,0.0,0.0,368.2361985888622
16,741.6517652021992,351.5251775888309,0.0,0.0,368.2361985888622
17,507.56256033360273,351.4655867356533,0.0,0.0,368.2361985888622
18,395.0746676273227,351.46558673565244,0.0,0.0,368.2361985888622
19,355.3581738234411,351.46558673565266,0.0,0.0,368.2361985888622
20,350.4059641169439,351.4655867356524,0.0,0.0,368.2361985888622
21,350.36465454101966,351.46558673565323,0.0,0.0,368.2361985888622
22,350.3646545410176,351.4655867356523,0.0,0.0,368.2361985888622
23,350.38396187852356,350.7919464111325,0.0,0.0,368.2361985888622
