HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,670.1444227430445,652.5311285165649,0.0,0.0,80.68987482306804
1,622.7625260042452,610.6082106370186,0.0,0.0,80.68987482306804
2,616.1397508643046,651.7293067345198,0.0,0.0,80.68987482306804
3,760.2884738966216,799.0740714440021,0.0,0.0,80.68987482306804
4,988.5678919065024,966.0796356201179,0.0,0.0,80.68987482306804
5,1171.7302311572003,1091.8843501164338,0.0,0.0,80.68987482306804
6,1298.1267029042806,1181.2590320293702,0.0,0.0,80.68987482306804
7,1388.6578778380142,1248.7115337665296,0.0,0.0,80.68987482306804
8,1434.8216056969854,1283.8990302452676,0.0,0.0,80.68987482306804
9,1443.6505655456692,1290.662902832029,0.0,0.0,80.68987482306804
10,1444.1330369971233,1291.0278930664062,0.0,0.0,80.68987482306804
11,1444.1330369971201,1291.0278930664067,0.0,0.0,80.68987482306804
12,1444.1330369971233,1291.0278930664117,0.0,0.0,80.68987482306804
13,1444.1330369971233,1291.0278930664062,0.0,0.0,80.68987482306804
14,1441.7892191802794,1289.2592010498047,0.0,0.0,80.68987482306804
15,1418.619138754186,1271.991862370418,0.0,0.0,80.68987482306804
16,1340.392238105398,1214.5325657771193,0.0,0.0,80.68987482306804
17,1217.9397096597354,1126.5484132033123,0.0,0.0,80.68987482306804
18,1104.6822376470395,1048.1547845693726,0.0,0.0,80.68987482306804
19,1011.2195020653643,982.7984425471378,0.0,0.0,80.68987482306804
20,933.3186261991953,922.2182928232049,0.0,0.0,80.68987482306804
21,867.922739080091,862.5746477567228,0.0,0.0,80.68987482306804
22,800.9984748226484,793.6797274076009,0.0,0.0,80.68987482306804
23,732.501861455351,720.1144755436815,0.0,0.0,80.68987482306804
