HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,8.192115783690099,31.442921464259737,0.0,0.0
1,13.54652129279194,37.1893098079244,0.0,0.0
2,45.51855638291952,57.22141750042201,0.0,0.0
3,78.61389239081343,78.75345846322921,0.0,0.0
4,94.42211221278373,93.2729087242713,0.0,0.0
5,121.61514793775902,104.81008382943942,0.0,0.0
6,199.85433039172327,113.54406518202555,0.0,0.0
7,278.30584778182765,121.24938223912203,0.0,0.0
8,315.64619454570163,127.05700727609477,0.0,0.0
9,332.15887825333664,129.45302251669074,0.0,0.0
10,337.7064481713301,129.43611585176916,0.0,0.0
11,338.3928236979627,127.49127028538639,0.0,0.0
12,338.3216333791209,123.86056408515388,0.0,0.0
13,334.21422956912426,118.99116574800946,0.0,0.0
14,312.7905444441162,113.44747851445136,0.0,0.0
15,262.75140877793086,108.0767327088577,0.0,0.0
16,194.54538893425644,102.52978302882278,0.0,0.0
17,136.0044213949035,95.03584832411558,0.0,0.0
18,98.23879534257246,79.8481112260086,0.0,0.0
19,67.48397188442306,38.56064798281757,0.0,0.0
20,32.11357678307478,20.155584427026575,0.0,0.0
21,11.244411830245335,28.7061688349801,0.0,0.0
22,8.192115783691921,30.943033218383874,0.0,0.0
23,8.192115783692774,22.750917434693687,0.0,0.0
