HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,-31.778406837510268,-338.72048034138584,-262.83606937803603,0.0,1600.5755960357278
1,-5.448751837925698,-172.63857726179293,-262.83606937803603,0.0,1600.5755960357278
2,124.60071194535419,-202.30007881978102,-262.83606937803603,0.0,1600.5755960357278
3,133.5648312233896,-127.3363636587072,-262.83606937803603,0.0,1600.5755960357278
4,175.00667280478177,-58.1099926816555,-262.83606937803603,0.0,1600.5755960357278
5,287.7226712781464,133.0311109982251,-262.83606937803603,0.0,1600.5755960357278
6,576.5964239743897,277.3365117916716,-262.83606937803603,0.0,1600.5755960357278
7,3284.365895670889,470.6488254779234,-262.83606937803603,0.0,1600.5755960357278
8,2426.644787917167,1062.6534717797583,-262.83606937803603,0.0,1600.5755960357278
9,2035.7338895739936,796.9399136008279,-262.83606937803603,0.0,1600.5755960357278
10,1426.090587264921,820.6015157035761,-262.83606937803603,0.0,1600.5755960357278
11,900.0799029380975,557.6919285554337,-262.83606937803603,0.0,1600.5755960357278
12,604.4235014439041,363.39195909152494,-262.83606937803603,0.0,1600.5755960357278
13,529.6387119788808,207.67612933508406,-262.83606937803603,0.0,1600.5755960357278
14,446.0061886880235,208.71269101771964,-262.83606937803603,0.0,1600.5755960357278
15,422.9174947758933,134.31827931437635,-262.83606937803603,0.0,1600.5755960357278
16,794.7972186072706,466.718146605207,-262.83606937803603,0.0,1600.5755960357278
17,1128.1939642068903,695.5801938012218,-262.83606937803603,0.0,1600.5755960357278
18,1105.3679837290335,1190.6372797052484,-262.83606937803603,0.0,1600.5755960357278
19,1158.7980137837592,1452.0199781224114,-262.83606937803603,0.0,1600.5755960357278
20,-20.890695489492664,34.55299080806497,-262.83606937803603,0.0,1600.5755960357278
21,-60.63262158298922,66.17838173827857,-262.83606937803603,0.0,1600.5755960357278
22,-79.41499470195156,215.5530650660559,-262.83606937803603,0.0,1600.5755960357278
23,-97.2466354522524,324.78958172184116,-262.83606937803603,0.0,1600.5755960357278
