HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,1352.1708984374852,1352.2001037597674,0.0,0.0,19.195716016745596
1,1352.6408691406177,1352.5373769906823,0.0,0.0,19.195716016745596
2,1355.5509575737738,1353.7216139573245,0.0,0.0,19.195716016745596
3,1359.2005619911756,1355.0094099778462,0.0,0.0,19.195716016745596
4,1363.3373162865162,1356.116398737982,0.0,0.0,19.195716016745596
5,1379.3182008238944,1357.8490717961229,0.0,0.0,19.195716016745596
6,1426.4934292497767,1361.4463418813832,0.0,0.0,19.195716016745596
7,1493.1925516530414,1367.9376619779202,0.0,0.0,19.195716016745596
8,1546.272470759245,1375.4350597675045,0.0,0.0,19.195716016745596
9,1570.461130193358,1380.3881636399458,0.0,0.0,19.195716016745596
10,1575.694073088779,1381.2816760723401,0.0,0.0,19.195716016745596
11,1574.5981763350055,1378.2102485069863,0.0,0.0,19.195716016745596
12,1570.258760532653,1373.0754030667906,0.0,0.0,19.195716016745596
13,1560.9981829763817,1368.022141676685,0.0,0.0,19.195716016745596
14,1545.0495119058223,1363.797937246468,0.0,0.0,19.195716016745596
15,1520.4818760663593,1360.5839996337886,0.0,0.0,19.195716016745596
16,1484.2689452189663,1358.73830355131,0.0,0.0,19.195716016745596
17,1436.5227205122997,1357.5743819016652,0.0,0.0,19.195716016745596
18,1391.526141754961,1355.862247173601,0.0,0.0,19.195716016745596
19,1365.9780853388304,1353.6160430908194,0.0,0.0,19.195716016745596
20,1355.941740189484,1352.3516927865849,0.0,0.0,19.195716016745596
21,1352.5976978755168,1352.1708984374977,0.0,0.0,19.195716016745596
22,1352.1708984375,1352.1708984374975,0.0,0.0,19.195716016745596
23,1352.1708984375143,1352.1708984374984,0.0,0.0,19.195716016745596
