HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,18015.337744701304,16766.148756760813,0.0,0.0
1,16416.619709350798,15756.040264423154,0.0,0.0
2,16534.00081193073,16325.925837589897,0.0,0.0
3,19601.043066033326,19068.214430589214,0.0,0.0
4,30609.43547204248,25976.927339993967,0.0,0.0
5,48493.65683369212,38028.87978891216,0.0,0.0
6,68903.442296757,52846.914625901365,0.0,0.0
7,86390.05950670477,66360.52118389437,0.0,0.0
8,97893.18289032545,74742.32887620185,0.0,0.0
9,102818.44107698716,77021.92593149023,0.0,0.0
10,103736.31113805053,74455.50281700719,0.0,0.0
11,104977.42533225549,69828.48970853369,0.0,0.0
12,106456.33179178619,65915.67007211558,0.0,0.0
13,105811.16973479393,64057.040001502406,0.0,0.0
14,102657.57969647953,62821.25991586536,0.0,0.0
15,96329.91079980826,59954.54428335337,0.0,0.0
16,87252.7501945643,55677.56189903847,0.0,0.0
17,73701.9201837882,49845.22765174275,0.0,0.0
18,60780.19732549056,44064.722543569675,0.0,0.0
19,51488.00503621842,38390.0986328125,0.0,0.0
20,42989.84790319705,32579.828200120188,0.0,0.0
21,34899.084515685216,27438.31467848563,0.0,0.0
22,27160.400360692212,22590.283015324527,0.0,0.0
23,21023.548917924483,1535.0426263924385,0.0,0.0
