HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity
0,4.043422301610216,4.04034838768152,0.0,0.0
1,3.1992927392323365,3.198505218212426,0.0,0.0
2,3.0354883670806014,3.035488367080645,0.0,0.0
3,3.376979139116256,3.3782925651624085,0.0,0.0
4,5.484036604563371,5.491089930901152,0.0,0.0
5,8.598164558410566,8.604499312547514,0.0,0.0
6,10.833798726400023,10.837329516044015,0.0,0.0
7,11.762645509507879,11.763393365419851,0.0,0.0
8,11.771834903293154,11.771271962385907,0.0,0.0
9,11.498598098754812,11.49799754069399,0.0,0.0
10,11.31615479787187,11.315933539317204,0.0,0.0
11,11.270133018493611,11.270133018493649,0.0,0.0
12,11.26191499498152,11.261883387198854,0.0,0.0
13,11.312867270575598,11.313088527092571,0.0,0.0
14,11.43696170383023,11.437261984898488,0.0,0.0
15,11.388474464416472,11.388047750179581,0.0,0.0
16,11.131245507134354,11.130597536380474,0.0,0.0
17,12.077156490749761,12.081312986520604,0.0,0.0
18,13.159488677978452,13.160326297466558,0.0,0.0
19,13.430489222208571,13.430861436403713,0.0,0.0
20,13.077011638217524,13.075354337692254,0.0,0.0
21,10.938563134935205,10.931664173419652,0.0,0.0
22,7.926557593875476,7.920492126391471,0.0,0.0
23,5.652551227145836,1.6052351211891114,0.0,0.0
